lemma,semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,car
idalu-,eat → entrails eaten up → to be bad → to be angry  ,anger,evil,"*edwal (Laroche, HED E-I:493); *h1edu̯ol- ‘evilness’, *h1edu̯o- 'evil' (EDHIL:421)",*h1ed- ‘bite (→ eat)',"Arm. erkn, ‘labour pains’, Gr.ὀδύνη‘pain’ OIr. idu",evil; to anger; angry,"adduwali(ya)-; /attuwal-/, MALUS-la/i-; /attuwalahid-/, MALUS-la/i-hi-tà-; /attuwalastarr(i)-/, MALUS-la/i-sa-tara/i HLuw. átuwa- (n.) ‘evil’ (nom.-acc.sg /atuwan=tsa/ MALUS-wa/i-za- ́ (TELL AHMAR 1 §19, TELL","idālu- ‘evil, bad’, ḪUL ",,?itala- 'evil' (HED E-I:492),,,
ilāliya-,passion → desire,desire,passion,"*ilo-, *ilaH- ‘passion’",,,to have passion,/alunazza-i/ ‘desire’; /alunnamm(a)-/ ‘lust’,"ilāliye/a-(mi) ‘to desire’; ilā- ‘passion, desire (?)’",ila- 'passion'; ilaliya- 'unknown',,,,
impa-,weight → burden → depression,distress,burden,,borrowing indep. into Hit. and Greek,"Gk. ἶπος 'weight, press'","weight, burden, depression",,"(a)impa- 'weight, burden, depression'",,,,,
išḫaḫru-,two options: blood → tears; rain → tears,distress,tear,*sH1aH1ru-,*sE2eu̯-H2-,"Gk. δάκρυ, Lat. lacruma, Olr. dēr, Goth, tagr, OHG zahar), *draḱur (Arm. artawsr), *draḱnu- (OHG trahan), *aḱru (Ved. áśru, Avest. asrū-, Toch. A ākär [pl. A ākrunt, B akrūna], Lith. ašarà",tears; to shed tears,(*476)ASḪA-ḫi-ru-r (R.Oreshko),išḫaḫru- /išḫaḫruwe/a-,,,,,
kappilae-,"J.Puhvel: field (curve line between valleys) → battle field → battle → agression; E.Rieken: UNKNOWN SOURCE → anger, hostility",anger,be agressive; pick a fight,*k̑opi-lo-, *k̑ep-,"ved. śap- ‘to scold, to curse (Eichner); this correlation, however, does not fit Luwian data",to hostile,"kapilali- ""enemy"" (HL); kappilazza- ‘to become hostile’ (CL)","(:)kappilae- ‘to be(come) hostile’, kappilaḫḫ- ‘to begin to fight’, kappilala/i- ‘aggressive’",,,,,
kardimmiya-,Hitt. and PIE heart → be angry; Luw. heart → wish for,anger,feel with the whole heart,*k̑erd-(im-e/o-),"*k̑ḗr, k̑érd-, *k̑r̥d- ","Ved. hŕ̥d- n. ‘heart’, OAv. zərəd- n. ‘heart’, Gk. κῆρ n. ‘heart’, Arm. sirt ‘heart’, Lat. cor, OIr. cride n. ‘heart, middle, love’ Goth. haírto n. ‘heart’; Lith. širdìs Latv. sir̂ds f. ‘heart, courage, wrath’, Pol. serce, TochA kri ‘will’, TochB käryāñ nom. pl. ‘hearts",to be angry,"/zart-/, za+ra/i- ‘heart’ (HL); zārt- ‘heart’ (CL); /zartiya-/, (COR)za+ra/i-ti-ia- ‘wish’ (HL)",kardimmi(ye/a)- be angry,kārti- ‘heart’,,,,
kari-,"desire, impulse → pleasant impulse → joy",mercy,mercy,"For PA, if palatovelars were distinct, PA *ĝor- > *kar-.",*ĝher-/*ĝhor-/*ĝhr-,"Gk. χαίρω ‘I rejoice’ is to χάρις , χαρά ‘grace/joy’, Ved. hā́ryati ‘finds pleasure, delights, likes’, Av. zara- ‘aim, goal(?), Lat. horior ‘to urge on’; OHG ger ‘desirous’, gerōn ‘to desire’",have mercy,,"kari tiya; kariyasha-; kariye/a-, kariyatta-",,,,,
karpi- ,"to grumble, to shout, to make unpleasant noises → to be angry",anger,anger action,,*k̑r̥p-,"Lat. increpāre ‘to shout out, to upbraid’, Skt. kr̥pate ‘to lament’,
Russ. kropotá ‘conflict, fight’ Gk καρπάλιμoς  
",to be angry,"CLuw. zarpa/i- ‘to brush, scrape (?)  CL zarp(i)- ‘one of the evils that befall the head goes back to Meriggi 1957 , ;zarp(i)- ‘(part of the bed)’","karp-, karpiye/a- ‘to be angry’, karpeššant- ‘angry’, karpiwala- ‘beset with anger’, karpi- ‘anger, karpeššant- ‘angry’",,,,,
karūššiya-,be silent → be calm,comfort,peace,,*gwr-éu̯-s-,"Lith. gùrstu 'subside, die down', Toch. A kur-, B kwär- 'become feeble, age', Goth, qaírrus 'gentle', ON kvirr 'quiet, paceful', Arm. aor. koreay 'die out'",to calm,"?/kar(a)i-(di)/, (“SIGNACULUM+*195”)ka-ri+i- ‘to sacrifice’",karuššiya-; karuššiyantili,,? karol(i)- ‘offering (?)’,,,
katkattiya-,"earthquake → shaking, tremor → fear",fear,"fear, tremble",katta- (Hitt.) + reduplication in the meaning of shaking of soil,, ,to tremble,,katkattiya-,,,,,
kattu-,hostility → revenge,enmity,revenge,*k(h2)et ‘hostility (vel sim.)’,*k̑h2et-(e)u-,"Germanic and Celtic *katu- ""fight, quarrel"", which appears in Old Norse hođ ""quarrel"" OIr. cath‘strife, battle’, Gk κοτος .",hostility; to be enemies,"/katt(i)-/, ka-ti-i-; *katt(i)- 'hostility (?)'; kattawatnalla/i- ‘vengeful; plaintiff; revenger’ ","kattu- ‘enmity, strife’; kattuwae-, kattawatar  'to be aggrieved'; katterraḫḫ-",,,,,
